epoch,train_loss,train_acc,val_loss,val_acc,val_f1,val_auc,lr
1,0.12506268617276492,0.9739958805355304,0.006080290438752509,0.9963436928702011,0.9964028776978417,0.9999866277981332,0.0001
2,0.00990477600342098,0.997167868177137,0.009488146590849449,0.9945155393053017,0.9946332737030411,1.0,0.0001
3,0.007552522323785557,0.9979402677651905,0.0013615287912063685,1.0,1.0,1.0,0.0001
4,0.007349995549260565,0.9976828012358393,0.0017543723244744884,1.0,1.0,1.0,0.0001
5,0.0047295817530010435,0.998712667353244,0.011970296654059444,0.9981718464351006,0.9981981981981982,0.9999732555962664,0.0001
6,0.006524485192801744,0.9984552008238929,0.010388010898128686,0.9981718464351006,0.9981981981981982,0.9999732555962665,0.0001
7,0.002530578696606804,0.9989701338825953,0.02408039793428867,0.9908592321755028,0.9910554561717353,0.9999063945869328,0.0001
8,0.0058543131887736945,0.998712667353244,0.013231532185311196,0.9963436928702011,0.9964028776978417,0.9999197667887993,0.0001
9,0.0018098310104110813,0.9989701338825953,0.008041066897103969,0.9981718464351006,0.9981981981981982,0.9999866277981333,0.0001
10,0.0013577428435225794,0.9994850669412977,0.004396322742059348,0.9981718464351006,0.9981981981981982,1.0,0.0001
